Year,NOC,Sport,Bronze,Silver,Gold,Total Medals,Participants,Male Participants,Female Participants,Weighted Total
1928,POR,Weightlifting,0,0,0,0,1,1,0,0
1928,POR,Wrestling,0,0,0,0,1,1,0,0
1928,ROU,Athletics,0,0,0,0,13,11,2,0
1928,ROU,Fencing,0,0,0,0,8,8,0,0
1928,RSA,Aquatics,4,0,0,4,5,0,5,8
1928,RSA,Athletics,0,2,1,3,9,8,1,12
1928,RSA,Boxing,1,0,1,2,6,6,0,8
1928,RSA,Cycling,0,0,0,0,1,1,0,0
1928,RSA,Rowing,0,0,0,0,1,1,0,0
1928,RSA,Sailing,0,0,0,0,1,1,0,0
1928,RSA,Wrestling,0,0,0,0,1,1,0,0
1928,SUI,Aquatics,0,0,0,0,8,8,0,0
1928,SUI,Art Competitions (not a current category),0,7,0,7,19,19,0,21
1928,SUI,Athletics,0,2,0,2,9,9,0,6
1928,SUI,Cycling,0,0,0,0,9,9,0,0
1928,SUI,Equestrian,2,4,2,8,9,9,0,28
1928,SUI,Fencing,0,0,0,0,9,8,1,0
1928,SUI,Field hockey,0,0,0,0,16,16,0,0
1928,SUI,Football,0,4,0,4,11,11,0,12
1928,SUI,Gymnastics,42,8,71,121,8,8,0,534
1928,SUI,Rowing,2,5,5,12,13,13,0,49
1928,SUI,Sailing,0,0,0,0,1,1,0,0
1928,SUI,Weightlifting,1,0,0,1,10,10,0,2
1928,SUI,Wrestling,1,2,1,4,11,11,0,14
1928,SWE,Aquatics,12,6,4,22,17,12,5,66
1928,SWE,Athletics,16,10,3,29,29,23,6,80
1928,SWE,Boxing,1,1,0,2,8,8,0,5
1928,SWE,Cycling,6,0,0,6,4,4,0,12
1928,SWE,Equestrian,5,3,4,12,9,9,0,43
1928,SWE,Fencing,6,2,2,10,8,6,2,30
1928,SWE,Modern Pentathlon,0,1,2,3,3,3,0,15
1928,SWE,Sailing,6,0,2,8,11,11,0,24
1928,SWE,Weightlifting,0,0,0,0,2,2,0,0
1928,SWE,Wrestling,1,3,5,9,9,9,0,41
1928,TCH,Aquatics,0,0,0,0,10,10,0,0
1928,TCH,Athletics,0,0,0,0,11,11,0,0
1928,TCH,Boxing,0,1,0,1,3,3,0,3
1928,TCH,Cycling,0,0,0,0,4,4,0,0
1928,TCH,Equestrian,0,0,2,2,9,9,0,12
1928,TCH,Fencing,0,0,0,0,7,6,1,0
1928,TCH,Gymnastics,23,62,11,96,8,8,0,298
1928,TCH,Modern Pentathlon,0,0,0,0,3,3,0,0
1928,TCH,Rowing,0,0,0,0,1,1,0,0
1928,TCH,Sailing,0,0,0,0,1,1,0,0
1928,TCH,Weightlifting,1,0,0,1,6,6,0,2
1928,TCH,Wrestling,0,1,0,1,6,6,0,3
1928,TUR,Athletics,0,0,0,0,5,5,0,0
1928,TUR,Cycling,0,0,0,0,4,4,0,0
1928,TUR,Fencing,0,0,0,0,4,4,0,0
1928,TUR,Football,0,0,0,0,11,11,0,0
1928,TUR,Weightlifting,0,0,0,0,1,1,0,0
1928,TUR,Wrestling,0,0,0,0,6,6,0,0
1928,URU,Football,0,0,25,25,17,17,0,150
1928,USA,Aquatics,13,12,39,64,39,21,18,296
1928,USA,Art Competitions (not a current category),0,0,1,1,45,38,7,6
1928,USA,Athletics,13,18,37,68,98,81,17,302
1928,USA,Boxing,1,2,0,3,8,8,0,8
1928,USA,Cycling,2,4,9,15,4,4,0,70
1928,USA,Equestrian,2,0,0,2,5,5,0,4
1928,USA,Fencing,8,0,0,8,16,14,2,16
1928,USA,Football,0,0,0,0,11,11,0,0
1928,USA,Gymnastics,28,7,63,98,8,8,0,455
1928,USA,Modern Pentathlon,0,0,0,0,3,3,0,0
1928,USA,Rowing,5,10,23,38,26,26,0,178
1928,USA,Sailing,0,0,1,1,10,10,0,6
1928,USA,Wrestling,0,2,4,6,7,7,0,30
1928,YUG,Athletics,0,0,0,0,4,4,0,0
1928,YUG,Cycling,0,0,0,0,4,4,0,0
1928,YUG,Fencing,0,0,0,0,2,2,0,0
1928,YUG,Football,0,0,0,0,11,11,0,0
1928,YUG,Gymnastics,60,4,16,80,8,8,0,228
1928,YUG,Wrestling,0,0,0,0,5,5,0,0
1928,ZIM,Boxing,0,0,0,0,2,2,0,0
1932,ARG,Aquatics,0,0,0,0,5,5,0,0
1932,ARG,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1932,ARG,Athletics,0,0,1,1,11,11,0,6
1932,ARG,Boxing,0,1,2,3,8,8,0,15
1932,ARG,Fencing,2,0,0,2,5,5,0,4
1932,ARG,Shooting,0,0,0,0,2,2,0,0
1932,ARG,Weightlifting,0,0,0,0,1,1,0,0
1932,AUS,Aquatics,2,7,3,12,5,2,3,43
1932,AUS,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1932,AUS,Athletics,0,0,0,0,4,3,1,0
1932,AUS,Cycling,2,0,1,3,1,1,0,10
1932,AUS,Rowing,0,0,2,2,1,1,0,12
1932,AUS,Wrestling,1,0,0,1,1,1,0,2
1932,AUT,Aquatics,0,0,0,0,2,1,1,0
1932,AUT,Art Competitions (not a current category),0,0,8,8,10,10,0,48
1932,AUT,Athletics,0,0,0,0,2,2,0,0
1932,AUT,Fencing,0,0,1,1,1,0,1,6
1932,AUT,Sailing,0,0,0,0,1,1,0,0
1932,AUT,Weightlifting,1,1,1,3,2,2,0,11
1932,AUT,Wrestling,3,0,0,3,1,1,0,6
1932,BEL,Art Competitions (not a current category),1,0,0,1,29,23,6,2
1932,BEL,Fencing,0,0,0,0,7,6,1,0
1932,BRA,Aquatics,0,0,0,0,16,15,1,0
1932,BRA,Athletics,0,0,0,0,19,19,0,0
1932,BRA,Rowing,0,0,0,0,18,18,0,0
1932,BRA,Shooting,0,0,0,0,6,6,0,0
1932,BUL,Art Competitions (not a current category),0,0,0,0,2,2,0,0
1932,CAN,Aquatics,7,0,0,7,17,9,8,14
1932,CAN,Art Competitions (not a current category),44,0,0,44,2,2,0,88
1932,CAN,Athletics,21,11,9,41,29,21,8,129
1932,CAN,Boxing,0,0,2,2,7,7,0,12
1932,CAN,Cycling,0,0,0,0,7,7,0,0
1932,CAN,Fencing,0,0,0,0,5,4,1,0
1932,CAN,Rowing,12,1,1,14,16,16,0,33
1932,CAN,Sailing,6,6,0,12,13,13,0,30
1932,CAN,Wrestling,1,2,0,3,6,6,0,8
1932,CHN,Athletics,0,0,0,0,1,1,0,0
1932,COL,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1932,COL,Athletics,0,0,0,0,1,1,0,0
1932,CUB,Art Competitions (not a current category),0,0,0,0,3,3,0,0
1932,DEN,Aquatics,1,0,0,1,3,0,3,2
1932,DEN,Art Competitions (not a current category),0,24,0,24,19,17,2,72
1932,DEN,Athletics,1,0,0,1,2,2,0,2
1932,DEN,Boxing,1,0,0,1,2,2,0,2
1932,DEN,Cycling,2,3,6,11,6,6,0,49
1932,DEN,Fencing,0,5,0,5,7,4,3,15
1932,DEN,Weightlifting,0,1,0,1,1,1,0,3
1932,DEN,Wrestling,0,1,0,1,3,3,0,3
1932,ESA,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1932,ESP,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1932,ESP,Sailing,1,0,0,1,1,1,0,2
1932,ESP,Shooting,1,0,0,1,5,5,0,2
1932,EST,Athletics,0,0,0,0,1,1,0,0
1932,EST,Wrestling,0,0,2,2,1,1,0,12
1932,FIN,Aquatics,0,0,0,0,1,1,0,0
1932,FIN,Athletics,8,7,6,21,22,22,0,73
1932,FIN,Boxing,1,0,0,1,2,2,0,2
1932,FIN,Gymnastics,43,3,0,46,5,5,0,95
1932,FIN,Wrestling,6,5,5,16,10,10,0,57
1932,FRA,Aquatics,0,2,0,2,6,5,1,6
1932,FRA,Art Competitions (not a current category),0,0,9,9,38,34,4,54
1932,FRA,Athletics,2,0,0,2,12,12,0,4
1932,FRA,Boxing,0,0,0,0,6,6,0,0
1932,FRA,Cycling,1,6,2,9,8,8,0,32
1932,FRA,Equestrian,2,4,5,11,3,3,0,46
1932,FRA,Fencing,0,24,25,49,11,10,1,222
1932,FRA,Modern Pentathlon,0,0,0,0,1,1,0,0
1932,FRA,Rowing,3,0,0,3,5,5,0,6
1932,FRA,Sailing,0,0,1,1,3,3,0,6
1932,FRA,Weightlifting,0,1,4,5,5,5,0,27
1932,FRA,Wrestling,1,1,1,3,5,5,0,11
1932,GBR,Aquatics,15,5,0,20,13,6,7,45
1932,GBR,Art Competitions (not a current category),0,4,1,5,35,32,3,18
1932,GBR,Athletics,6,7,6,19,24,19,5,69
1932,GBR,Boxing,0,0,0,0,3,3,0,0
1932,GBR,Cycling,4,10,0,14,7,7,0,38
1932,GBR,Fencing,0,1,0,1,3,1,2,3
1932,GBR,Modern Pentathlon,0,0,0,0,3,3,0,0
1932,GBR,Rowing,0,3,8,11,15,15,0,57
1932,GBR,Sailing,0,2,0,2,2,2,0,6
1932,GBR,Wrestling,0,0,0,0,2,2,0,0
1932,GER,Alpinism (historical category),0,0,2,2,2,2,0,12
1932,GER,Aquatics,0,9,5,14,12,11,1,57
1932,GER,Art Competitions (not a current category),8,0,2,10,60,58,2,28
1932,GER,Athletics,11,7,0,18,27,22,5,43
1932,GER,Boxing,0,3,0,3,8,8,0,9
1932,GER,Cycling,0,0,0,0,4,4,0,0
1932,GER,Fencing,0,2,1,3,2,1,1,12
1932,GER,Modern Pentathlon,0,0,0,0,3,3,0,0
1932,GER,Rowing,0,10,5,15,16,16,0,60
1932,GER,Sailing,0,0,0,0,1,1,0,0
1932,GER,Shooting,0,1,0,1,1,1,0,3
1932,GER,Weightlifting,2,1,2,5,4,4,0,19
1932,GER,Wrestling,2,4,1,7,5,5,0,22
1932,GRE,Athletics,0,0,0,0,7,7,0,0
1932,GRE,Boxing,0,0,0,0,1,1,0,0
1932,GRE,Wrestling,0,0,0,0,2,2,0,0
1932,GUA,Art Competitions (not a current category),0,0,0,0,1,0,1,0
1932,HAI,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1932,HAI,Athletics,0,1,0,1,2,2,0,3
1932,HUN,Aquatics,4,9,10,23,15,15,0,95
1932,HUN,Art Competitions (not a current category),0,11,2,13,12,12,0,45
1932,HUN,Athletics,0,0,0,0,5,5,0,0
1932,HUN,Boxing,0,0,1,1,2,2,0,6
1932,HUN,Cycling,0,0,0,0,1,1,0,0
1932,HUN,Fencing,3,2,11,16,10,8,2,78
1932,HUN,Gymnastics,0,14,9,23,4,4,0,96
1932,HUN,Modern Pentathlon,0,1,0,1,3,3,0,3
1932,HUN,Shooting,1,0,0,1,3,3,0,2
1932,HUN,Wrestling,1,2,0,3,5,5,0,8
1932,IND,Aquatics,0,0,0,0,1,1,0,0
1932,IND,Athletics,0,0,1,1,4,4,0,6
1932,IND,Field hockey,0,0,19,19,15,15,0,114
1932,IRL,Art Competitions (not a current category),0,1,0,1,8,6,2,3
1932,IRL,Athletics,0,0,4,4,4,4,0,24
1932,IRL,Boxing,0,0,0,0,4,4,0,0
1932,ITA,Aquatics,0,0,0,0,2,2,0,0
1932,ITA,Art Competitions (not a current category),0,0,0,0,10,10,0,0
1932,ITA,Athletics,5,0,4,9,21,21,0,34
1932,ITA,Boxing,0,2,0,2,8,8,0,6
1932,ITA,Cycling,1,2,9,12,10,10,0,62
1932,ITA,Fencing,10,29,22,61,14,14,0,239
1932,ITA,Gymnastics,4,5,31,40,7,7,0,209
1932,ITA,Modern Pentathlon,0,0,0,0,3,3,0,0
1932,ITA,Rowing,4,14,1,19,20,20,0,56
1932,ITA,Sailing,0,0,0,0,1,1,0,0
1932,ITA,Shooting,1,0,1,2,6,6,0,8
1932,ITA,Weightlifting,1,3,2,6,4,4,0,23
1932,ITA,Wrestling,3,1,1,5,6,6,0,15
1932,JPN,Aquatics,2,5,10,17,35,28,7,79
1932,JPN,Art Competitions (not a current category),0,0,0,0,40,38,2,0
1932,JPN,Athletics,3,1,2,6,34,25,9,21
1932,JPN,Boxing,0,0,0,0,5,5,0,0
1932,JPN,Equestrian,0,0,1,1,5,5,0,6
1932,JPN,Field hockey,0,11,0,11,11,11,0,33
1932,JPN,Gymnastics,0,0,0,0,6,6,0,0
1932,JPN,Rowing,0,0,0,0,14,14,0,0
1932,JPN,Wrestling,0,0,0,0,7,7,0,0
1932,LAT,Art Competitions (not a current category),0,0,0,0,3,3,0,0
1932,LAT,Athletics,0,1,0,1,2,2,0,3
1932,LUX,Art Competitions (not a current category),0,0,16,16,3,3,0,96
1932,MEX,Aquatics,0,0,0,0,8,8,0,0
1932,MEX,Art Competitions (not a current category),0,0,0,0,2,2,0,0
1932,MEX,Athletics,0,0,0,0,25,24,1,0
1932,MEX,Boxing,1,1,0,2,6,6,0,5
1932,MEX,Cycling,0,0,0,0,3,3,0,0
1932,MEX,Equestrian,0,0,0,0,6,6,0,0
1932,MEX,Fencing,0,0,0,0,10,9,1,0
1932,MEX,Gymnastics,0,0,0,0,3,3,0,0
1932,MEX,Modern Pentathlon,0,0,0,0,3,3,0,0
1932,MEX,Shooting,0,1,0,1,5,5,0,3
1932,MEX,Wrestling,0,0,0,0,2,2,0,0
1932,MON,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1932,NED,Aquatics,0,9,2,11,5,0,5,39
1932,NED,Art Competitions (not a current category),2,4,5,11,22,18,4,46
1932,NED,Athletics,0,1,0,1,7,2,5,3
1932,NED,Cycling,0,2,4,6,2,2,0,30
1932,NED,Equestrian,0,3,8,11,3,3,0,57
1932,NED,Fencing,0,0,0,0,2,1,1,0
1932,NED,Modern Pentathlon,0,0,0,0,1,1,0,0
1932,NED,Rowing,0,0,0,0,2,2,0,0
1932,NED,Sailing,0,2,0,2,2,2,0,6
1932,NOR,Aquatics,0,0,0,0,1,1,0,0
1932,NOR,Art Competitions (not a current category),0,0,0,0,2,1,1,0
1932,NOR,Athletics,1,0,0,1,3,3,0,2
1932,NOR,Wrestling,0,0,0,0,1,1,0,0
1932,NZL,Athletics,0,0,0,0,6,5,1,0
1932,NZL,Boxing,0,0,0,0,3,3,0,0
1932,NZL,Cycling,0,0,0,0,1,1,0,0
1932,NZL,Rowing,1,6,0,7,11,11,0,20
1932,PER,Art Competitions (not a current category),0,0,0,0,2,2,0,0
1932,PHI,Aquatics,2,0,0,2,3,3,0,4
1932,PHI,Athletics,1,0,0,1,1,1,0,2
1932,PHI,Boxing,1,0,0,1,4,4,0,2
1932,POL,Art Competitions (not a current category),4,6,2,12,32,26,6,38
1932,POL,Athletics,1,0,3,4,7,4,3,20
1932,POL,Fencing,11,0,0,11,6,6,0,22
1932,POL,Rowing,7,6,0,13,7,7,0,32
1932,POR,Athletics,0,0,0,0,1,1,0,0
1932,POR,Modern Pentathlon,0,0,0,0,2,2,0,0
1932,POR,Shooting,0,0,0,0,4,4,0,0
1932,ROU,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1932,RSA,Aquatics,1,0,0,1,1,0,1,2
1932,RSA,Athletics,2,0,0,2,4,3,1,4
1932,RSA,Boxing,1,0,2,3,5,5,0,14
1932,RSA,Sailing,0,0,0,0,2,2,0,0
1932,SUI,Art Competitions (not a current category),0,0,0,0,2,2,0,0
1932,SUI,Athletics,0,2,0,2,3,3,0,6
1932,SUI,Fencing,0,0,0,0,1,1,0,0
1932,SUI,Gymnastics,1,2,3,6,1,1,0,26
1932,SWE,Aquatics,0,0,0,0,3,2,1,0
1932,SWE,Art Competitions (not a current category),0,0,5,5,29,27,2,30
1932,SWE,Athletics,4,2,0,6,9,9,0,14
1932,SWE,Boxing,1,1,0,2,3,3,0,5
1932,SWE,Cycling,5,0,0,5,4,4,0,10
1932,SWE,Equestrian,18,7,8,33,6,6,0,105
1932,SWE,Fencing,0,2,2,4,3,3,0,18
1932,SWE,Modern Pentathlon,0,2,3,5,3,3,0,24
1932,SWE,Sailing,3,0,6,9,7,7,0,42
1932,SWE,Shooting,0,0,3,3,3,3,0,18
1932,SWE,Wrestling,4,4,12,20,13,13,0,92
1932,TCH,Art Competitions (not a current category),2,1,0,3,18,18,0,7
1932,TCH,Athletics,2,0,0,2,3,3,0,4
1932,TCH,Weightlifting,1,1,1,3,2,2,0,11
1932,TCH,Wrestling,0,2,0,2,2,2,0,6
1932,TUR,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1932,URU,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1932,URU,Rowing,1,0,0,1,1,1,0,2
1932,USA,Aquatics,24,17,25,66,43,27,16,249
1932,USA,Art Competitions (not a current category),14,16,62,92,191,151,40,448
1932,USA,Athletics,12,22,42,76,81,66,15,342
1932,USA,Boxing,3,0,2,5,8,8,0,18
1932,USA,Cycling,0,0,0,0,12,12,0,0
1932,USA,Equestrian,7,6,3,16,8,8,0,50
1932,USA,Fencing,20,4,6,30,21,18,3,88
1932,USA,Field hockey,15,4,7,26,14,14,0,84
1932,USA,Gymnastics,8,27,6,41,20,20,0,133
1932,USA,Modern Pentathlon,1,0,0,1,3,3,0,2
1932,USA,Rowing,2,6,16,24,26,26,0,118
1932,USA,Sailing,1,8,22,31,21,21,0,158
1932,USA,Shooting,0,0,0,0,6,6,0,0
1932,USA,Weightlifting,2,0,0,2,10,10,0,4
1932,USA,Wrestling,0,2,3,5,7,7,0,24
1932,VEN,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1932,YUG,Athletics,0,0,0,0,1,1,0,0
1936,AFG,Athletics,0,0,0,0,2,2,0,0
1936,AFG,Field hockey,0,0,0,0,13,13,0,0
1936,ARG,Aquatics,0,1,0,1,1,0,1,3
1936,ARG,Athletics,0,0,2,2,8,8,0,12
1936,ARG,Boxing,3,2,3,8,8,8,0,30
1936,ARG,Fencing,7,0,0,7,11,11,0,14
1936,ARG,Polo,0,0,4,4,4,4,0,24
1936,ARG,Rowing,2,0,0,2,3,3,0,4
1936,ARG,Sailing,0,0,0,0,11,11,0,0
1936,ARG,Shooting,0,0,0,0,5,5,0,0
1936,AUS,Aquatics,0,0,0,0,6,3,3,0
1936,AUS,Athletics,1,0,0,1,5,4,1,2
1936,AUS,Boxing,0,0,1,1,3,3,0,6
1936,AUS,Cycling,1,0,1,2,3,3,0,8
1936,AUS,Rowing,0,0,0,0,12,12,0,0
1936,AUS,Wrestling,1,0,0,1,3,3,0,2
1936,AUT,Aquatics,0,0,0,0,22,16,6,0
1936,AUT,Art Competitions (not a current category),3,1,1,5,60,60,0,15
1936,AUT,Athletics,0,0,0,0,29,21,8,0
1936,AUT,Boxing,0,0,0,0,6,6,0,0
1936,AUT,Canoeing,2,7,7,16,9,9,0,67
1936,AUT,Cycling,0,0,0,0,10,10,0,0
1936,AUT,Equestrian,2,0,0,2,8,8,0,4
1936,AUT,Fencing,1,0,1,2,15,12,3,8
1936,AUT,Football,0,13,0,13,13,13,0,39
1936,AUT,Gymnastics,0,0,0,0,8,8,0,0
1936,AUT,Handball,0,22,0,22,22,22,0,66
1936,AUT,Modern Pentathlon,0,0,0,0,2,2,0,0
1936,AUT,Rowing,0,1,0,1,9,9,0,3
1936,AUT,Sailing,0,0,0,0,1,1,0,0
1936,AUT,Shooting,0,0,0,0,3,3,0,0
1936,AUT,Weightlifting,0,0,1,1,10,10,0,6
1936,AUT,Wrestling,0,0,0,0,7,7,0,0
1936,BEL,Aquatics,10,4,0,14,9,9,0,32
1936,BEL,Art Competitions (not a current category),7,0,0,7,31,31,0,14
1936,BEL,Athletics,0,0,0,0,13,11,2,0
1936,BEL,Basketball,0,0,0,0,8,8,0,0
1936,BEL,Boxing,0,0,0,0,8,8,0,0
1936,BEL,Canoeing,0,0,0,0,9,9,0,0
1936,BEL,Cycling,6,0,0,6,8,8,0,12
1936,BEL,Equestrian,0,0,0,0,3,3,0,0
1936,BEL,Fencing,0,0,0,0,20,17,3,0
1936,BEL,Field hockey,0,0,0,0,14,14,0,0
1936,BEL,Modern Pentathlon,0,0,0,0,3,3,0,0
1936,BEL,Rowing,0,0,0,0,7,7,0,0
1936,BEL,Sailing,0,0,0,0,3,3,0,0
1936,BEL,Shooting,2,2,2,6,3,3,0,22
1936,BEL,Wrestling,0,0,0,0,11,11,0,0
1936,BER,Aquatics,6,2,18,26,5,5,0,126
1936,BOL,Aquatics,0,0,0,0,1,1,0,0
1936,BOL,Art Competitions (not a current category),0,0,0,0,1,1,0,0
1936,BRA,Aquatics,0,0,0,0,16,11,5,0
1936,BRA,Athletics,0,0,0,0,10,10,0,0
1936,BRA,Basketball,0,0,0,0,8,8,0,0
1936,BRA,Cycling,0,0,0,0,3,3,0,0
1936,BRA,Fencing,0,0,0,0,6,5,1,0
1936,BRA,Modern Pentathlon,0,0,0,0,3,3,0,0
1936,BRA,Rowing,0,0,0,0,22,22,0,0
1936,BRA,Sailing,0,0,0,0,1,1,0,0
1936,BRA,Shooting,0,0,0,0,4,4,0,0
1936,BUL,Art Competitions (not a current category),0,0,0,0,2,2,0,0
1936,BUL,Athletics,0,0,0,0,2,2,0,0
1936,BUL,Cycling,2,0,0,2,10,10,0,4
1936,BUL,Equestrian,0,0,0,0,3,3,0,0
1936,BUL,Fencing,0,0,0,0,1,1,0,0
1936,BUL,Gymnastics,0,0,0,0,7,7,0,0
1936,BUL,Shooting,0,0,0,0,1,1,0,0
1936,CAN,Aquatics,3,0,0,3,17,9,8,6
1936,CAN,Art Competitions (not a current category),5,0,0,5,1,1,0,10
1936,CAN,Athletics,20,3,2,25,28,21,7,61
1936,CAN,Basketball,2,9,0,11,9,9,0,31
1936,CAN,Boxing,0,0,0,0,4,4,0,0
1936,CAN,Canoeing,4,2,1,7,8,8,0,20
1936,CAN,Cycling,0,0,0,0,6,6,0,0
1936,CAN,Fencing,0,0,0,0,8,5,3,0
1936,CAN,Rowing,4,0,1,5,10,10,0,14
1936,CAN,Sailing,0,0,0,0,1,1,0,0
1936,CAN,Wrestling,1,0,0,1,5,5,0,2
1936,CHI,Aquatics,0,0,0,0,4,4,0,0
1936,CHI,Athletics,0,0,0,0,10,9,1,0
1936,CHI,Basketball,0,0,2,2,7,7,0,12
1936,CHI,Boxing,0,0,0,0,4,4,0,0
1936,CHI,Cycling,0,0,0,0,4,4,0,0
1936,CHI,Fencing,0,0,0,0,7,7,0,0
1936,CHI,Sailing,0,0,0,0,1,1,0,0
1936,CHI,Shooting,0,0,0,0,3,3,0,0
1936,CHN,Aquatics,0,0,0,0,2,1,1,0
1936,CHN,Athletics,0,0,0,0,22,21,1,0
1936,CHN,Basketball,0,0,0,0,13,13,0,0
1936,CHN,Boxing,0,0,0,0,2,2,0,0
1936,CHN,Cycling,0,0,0,0,1,1,0,0
1936,CHN,Football,0,0,0,0,11,11,0,0
1936,CHN,Weightlifting,0,0,0,0,3,3,0,0
1936,COL,Athletics,0,1,0,1,5,5,0,3
1936,CRC,Fencing,0,0,0,0,1,1,0,0
1936,DEN,Aquatics,1,2,0,3,20,8,12,8
1936,DEN,Art Competitions (not a current category),0,0,0,0,5,4,1,0
1936,DEN,Athletics,2,0,0,2,10,10,0,4
1936,DEN,Boxing,1,0,0,1,8,8,0,2
1936,DEN,Canoeing,0,0,0,0,4,4,0,0
1936,DEN,Cycling,0,2,1,3,11,11,0,12
1936,DEN,Equestrian,2,0,0,2,4,4,0,4
1936,DEN,Fencing,0,0,0,0,9,6,3,0
1936,DEN,Field hockey,1,1,1,3,16,16,0,11
1936,DEN,Rowing,0,3,0,3,16,16,0,9
1936,DEN,Sailing,0,0,0,0,7,7,0,0
1936,DEN,Shooting,0,0,2,2,6,6,0,12
1936,DEN,Wrestling,0,0,0,0,5,5,0,0
1936,EGY,Aquatics,0,0,0,0,9,9,0,0
1936,EGY,Athletics,0,0,0,0,4,4,0,0
1936,EGY,Basketball,0,0,0,0,7,7,0,0
1936,EGY,Boxing,0,0,0,0,4,4,0,0
1936,EGY,Fencing,0,0,0,0,6,6,0,0
1936,EGY,Football,0,0,0,0,11,11,0,0
1936,EGY,Shooting,0,0,0,0,1,1,0,0
1936,EGY,Weightlifting,2,1,2,5,8,8,0,19
1936,EGY,Wrestling,0,0,0,0,3,3,0,0
1936,EST,Aquatics,0,0,0,0,2,2,0,0
1936,EST,Athletics,0,0,0,0,7,7,0,0
1936,EST,Basketball,0,0,0,0,8,8,0,0
1936,EST,Boxing,0,1,0,1,2,2,0,3
1936,EST,Rowing,0,0,0,0,1,1,0,0
1936,EST,Sailing,0,0,0,0,1,1,0,0
1936,EST,Weightlifting,1,1,0,2,4,4,0,5
1936,EST,Wrestling,3,1,4,8,8,8,0,33
1936,FIN,Aquatics,0,0,0,0,3,2,1,0
1936,FIN,Art Competitions (not a current category),0,0,1,1,1,1,0,6
1936,FIN,Athletics,3,10,8,21,37,33,4,84
1936,FIN,Boxing,1,0,1,2,6,6,0,8
1936,FIN,Canoeing,0,0,0,0,3,3,0,0
1936,FIN,Cycling,0,0,0,0,2,2,0,0
1936,FIN,Equestrian,0,0,0,0,1,1,0,0
1936,FIN,Football,0,0,0,0,11,11,0,0
1936,FIN,Gymnastics,128,8,3,139,8,8,0,298
1936,FIN,Modern Pentathlon,0,0,0,0,3,3,0,0
1936,FIN,Sailing,0,0,0,0,12,12,0,0
1936,FIN,Shooting,0,0,0,0,8,8,0,0
1936,FIN,Wrestling,6,5,7,18,13,13,0,69
1936,FRA,Aquatics,1,2,3,6,17,13,4,26
1936,FRA,Athletics,1,0,0,1,40,36,4,2
1936,FRA,Basketball,0,0,0,0,11,11,0,0
1936,FRA,Boxing,0,0,2,2,6,6,0,12
1936,FRA,Canoeing,0,1,0,1,3,3,0,3
1936,FRA,Cycling,3,6,15,24,8,8,0,114
1936,FRA,Equestrian,0,3,2,5,9,9,0,21
1936,FRA,Fencing,6,21,19,46,19,16,3,189
1936,FRA,Field hockey,0,0,0,0,18,18,0,0
1936,FRA,Gymnastics,0,0,0,0,8,8,0,0
1936,FRA,Modern Pentathlon,0,0,0,0,3,3,0,0
1936,FRA,Rowing,10,0,0,10,19,19,0,20
1936,FRA,Sailing,0,0,1,1,14,14,0,6
1936,FRA,Shooting,1,0,0,1,8,8,0,2
1936,FRA,Weightlifting,0,1,3,4,8,8,0,21
1936,FRA,Wrestling,0,0,1,1,10,10,0,6
1936,GBR,Aquatics,1,1,0,2,37,21,16,5
1936,GBR,Athletics,6,17,5,28,52,42,10,93
1936,GBR,Boxing,0,0,1,1,8,8,0,6
1936,GBR,Canoeing,0,0,0,0,3,3,0,0
1936,GBR,Cycling,7,3,0,10,11,11,0,23
1936,GBR,Equestrian,3,0,0,3,6,6,0,6
1936,GBR,Fencing,0,1,0,1,18,16,2,3
1936,GBR,Football,0,0,0,0,15,15,0,0
1936,GBR,Gymnastics,0,0,0,0,8,0,8,0
1936,GBR,Modern Pentathlon,0,0,0,0,3,3,0,0
1936,GBR,Polo,0,4,0,4,4,4,0,12
1936,GBR,Rowing,0,6,4,10,18,18,0,42
1936,GBR,Sailing,2,0,6,8,14,13,1,40
1936,GBR,Weightlifting,0,0,0,0,5,5,0,0
1936,GBR,Wrestling,0,0,0,0,6,6,0,0
1936,GER,Aquatics,4,21,1,26,46,30,16,77
1936,GER,Art Competitions (not a current category),9,15,16,40,85,83,2,159
1936,GER,Athletics,17,7,5,29,77,62,15,85
1936,GER,Basketball,0,0,0,0,10,10,0,0
1936,GER,Boxing,1,2,2,5,8,8,0,20
1936,GER,Canoeing,2,5,3,10,14,14,0,37
1936,GER,Cycling,1,0,3,4,12,12,0,20
1936,GER,Equestrian,0,2,15,17,9,9,0,96
1936,GER,Fencing,19,4,1,24,16,13,3,56
1936,GER,Field hockey,2,22,0,24,22,22,0,70
1936,GER,Football,0,0,0,0,16,16,0,0
1936,GER,Gymnastics,28,3,82,113,16,8,8,557
1936,GER,Handball,0,0,22,22,22,22,0,132
